,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2912,8510421,8592214,103.69426
2913,8510422,8592209,416.2166
2914,8510422,8594987,418.5627
2915,8510422,8595602,214.19165
2916,8510422,8592218,390.43054
2917,8510422,8595534,239.35269
2918,8510526,8510525,297.2829
2919,8510526,8588155,451.63397
2920,8510526,8579231,318.9509
2921,8510526,8591959,278.34253
2922,8510526,8588156,286.1481
2923,8510526,8594988,352.98953
2924,8510526,8510527,477.1029
2925,8570425,8557141,419.59998
2926,8570425,8591904,265.7897
2927,8587929,8592070,195.86545
2928,8587929,8509491,158.00641
2929,8589523,8592051,330.81027
2930,8589523,8579254,313.95355
2931,8589523,8591991,155.09122
2932,8589523,8510575,396.40466
2933,8589523,8590442,467.9499
2934,8589523,8592074,373.5448
2935,8589523,8592072,456.81244
2936,8589523,8579237,282.60968
2937,8591957,8591961,373.93396
2938,8591957,8591948,367.80307
2939,8591957,8591960,226.85469
2940,8591957,8591955,296.7632
2941,8591957,8588873,427.62103
2942,8591959,8594890,344.5935
2943,8591959,8510525,431.14838
2944,8591959,8579231,485.7481
2945,8591959,8510526,278.34253
2946,8591959,8594988,442.93814
2947,8592050:0:D,8501181:0:1,359.1886
2948,8592050:0:D,Parent8501181,359.1886
2949,8592050:0:D,8501120:0:8,99.84084
2950,8592050:0:D,8501120:0:3,99.84084
2951,8592050:0:D,Parent8501120,99.84084
2952,8592050:0:D,8579254,352.99582
2953,8592050:0:D,8592040,361.19833
2954,8592050:0:D,8501120:0:5,99.84084
2955,8592050:0:D,8592050:0:F,194.06259
2956,8592050:0:D,8592050:0:H,0.0
2957,8592050:0:D,8501120:0:70,99.84084
2958,8592050:0:D,8592027,453.6327
2959,8592050:0:D,8579253,244.25124
